country,points,price,region_1,winery,description
US,94.0,110.0,Napa Valley,Tetra,"Very delicious and luscious, but no mere fruit bomb. It has the tannic-acidic structure and dryness to make it refined, but explodes on the palate with blackberry, chocolate, cassis, anise and sweet, smoky cedar flavors that are deep and long. Tastes important and first rate."
US,91.0,24.0,Shenandoah Valley (CA),Los Portales,"This is a generous, mouth-filling and deftly complex wine that's also deep and concentrated. It seems to blend the meaty character of MourvÃ¨dre, also known as Monastrell, with more fruity and spicy nuances."
US,86.0,12.0,California,Michael Sullberg,"This traditionally-styled wine has nice olive and herb aromas and smoky, dark cherry and bell pepper flavors. It's light-bodied, smooth and easy to sip."
US,87.0,14.0,California,Francis Ford Coppola,"Lots to like in this smooth, polished Chardonnay. It shows plenty of ripe pineapple, peach and pear flavors, with overtones of vanilla and buttered toast. Good price for the quality."
US,88.0,16.0,Elkton Oregon,Brandborg,"Aromatically intriguing, this features notes of crushed green grapes, green apple and botrytis. It's a hair off dry, with nicely balanced acidity and stone fruit flavors. Best as a dinner table companion."
US,93.0,48.0,Paso Robles,Parrish Family,"This eye-opening blend of 60% Cabernet Sauvignon and 40% Petite Sirah is dark and sexy in color, showing aromas of black cherry, sarsaparilla and black tobacco on a densely complex nose. It is soft and lush on the palate, with caramelized blueberry and black-cherry flavors, boosted by a touch of smoked meat."
Italy,90.0,30.0,Aglianico del Vulture,Feudi di San Gregorio,"Vibrant and structured, this expression of Aglianico opens with a fragrance that recalls blue flower, dark woodland berries, forest floor and balsamic notes. The polished palate offers red cherry, black pepper, licorice and menthol alongside subtle oak. It's well balanced but still young, with nervous acidity and assertive tannins. Drink after 2018."
US,93.0,50.0,Columbia Valley (WA),Avennia,"Sestina is the bigger sister to the winery's Gravura; again Cabernet Sauvignon takes front and center, with Merlot (18%) and Cabernet Franc (9%) filling in the rest. 70% of the French oak used was new, and the wine has more toast, smoke and barrel depth than its companion, though less of the luscious red fruit is showing. Espresso, cacao and other dark, roasted flavors wrap around black cherry cola and milk chocolate; the finish thoroughly delicious."
France,86.0,20.0,CrÃ©mant de Loire,Ackerman,"Fresh and crisp with sliced apple fruits, this is a light lively wine. It is dry although there is a touch of sweetness from the ripe pear flavor. Ready to drink, it is fruity and refreshing."
Italy,88.0,50.0,Chianti Classico,Castello di Monsanto,"In this vintage, Monsanto's flagship wine, made from 90% Sangiovese Grosso, is a prime example of traditional Chianti. It features racy, dry cherry fruit, hard edges and structure galore. Whether it will evolve into a more open and friendly wine remains to be seen; normally Il Poggio ages well and improves in the bottle."
US,91.0,22.0,Columbia Valley (WA),Kontos,"This is an unusual blend of Viognier, Chardonnay, Roussanne and Orange Muscat?quite different from previous vintages. Crisp and penetrating, it's a mix of lime, melon and kiwi flavors that are etched with skin phenolics, putting some delicious bite into the finish."
Italy,88.0,19.0,Lacryma Christi del Vesuvio,Cantine Olivella,"This blend of native grapes (80% Caprettone and 20% Catalanesca) conveys delicate fragrances of Spanish broom and white fragrant flowers. The vibrant palate offers apple, citrus and peach accented with notes of Mediterranean herbs. Vinity Wine, Panebianco."
Spain,90.0,30.0,Priorat,Marco Abella,"Ripe but nuanced aromas of tobacco, fig, berry and cassis come in front of a crisp, lively, fresh palate. Flavors of reedy berry, herbs, minerally plum and red currant finish with herbal tomato hints, dry tannins and bright acidity. Drink through 2018."
France,88.0,15.0,CÃ´tes de Provence,ChÃ¢teau Pas du Cerf,"Crisp and fruity, this wine demands to be drunk this summer. With bright red fruits, a light smoky texture and lime zest flavor, it is light, fresh and fragrant at the end."
US,90.0,30.0,Paso Robles,Falcone,"There are lots of lush flavors in this soft, mellow Syrah. It shows ripe blackberry jam, bacon, anise, cocoa and pepper notes, wrapped into smooth, complex tannins. Ready to drink now."
Spain,93.0,149.0,Ribera del Duero,Arzuaga,"For aged Ribera del Duero, this is right on target. An elegant, lightly leafy nose with lemony oak and tobacco notes along with dried berry and plum aromas is spot on and classy. The palate feels plump and honest, with moderate tannins. Flavors of earthy plum and berry, tobacco and a pantry's worth of spice finish full and chunky. Drink through 2022."
Italy,88.0,18.0,Barbera d'Alba,Marcarini,"This is a wine for anyone who longs for an old fashioned Barbara. An interesting, funky  and very complex nose of menthol, wet fur, coffee, and strawberries. On the palate, it seemed surprisingly soft (one would have expected more acidity) and the flavors less funky than the nose, with a core of sweet strawberry fruit at the finish."
US,87.0,26.0,Sonoma Valley,Sebastiani,"Aromatically alive with the smell of anise and salumi, this is a soft, layered expression of the grape. Blended with smaller amounts of Petite Sirah, Petit Verdot, Zinfandel and Syrah, it's expressive in blackberry and blueberry fruit."
US,92.0,100.0,Rutherford,Mathew Bruno,"Soft and supple on the palate, this impressive wine is lightly spiced with dust and clove, its tannins rounded and in support of lingering cassis and red cherry flavors. Mocha and tobacco lend additional depth and complexity as it unfolds, punctuated by juicy acidity."
Italy,86.0,20.0,Alto Adige,Castel Sallegg,"Subdued aromas of yellow stone fruit and a whiff of cut grass lead the nose. The linear, rather slender palate shows grapefruit, tomato leaf and lime alongside brisk acidity."
US,93.0,36.0,Santa Ynez Valley,Cent'Anni,"Kudos to winemaker Doug Margerum for holding onto this extremely pleasing wine long enough for all the components to come together. Six years in, the aromas of cola, black cherry, rose petal, pepper dust and crushed gravel are still fresh and vibrant, while the palate remains upright due to structural tannins. Flavors of blackberry, raspberry and baking spice abound, making for an elegant wine."
France,84.0,20.0,MÃ©doc,ChÃ¢teau Le Bourdieu,"An obviously wood-aged wine, this shows a bitter toast character. The fruit is lean, struggling to show through the dark chocolate flavor. It has an austere finish, which is mitigated by its final acidity."
Italy,86.0,27.0,Montecucco,Collemassari,"Made with 80% Sangiovese, 10% Ciliegiolo and 10% Cabernet Sauvignon, this has subdued aromas suggesting espresso and toast. The palate is rather lean in terms of fruit richness, offering red currant, clove and a hint of vanilla alongside close-grained tannins that lead to a mouth-puckering close."
US,94.0,78.0,Russian River Valley,Rochioli,"Succulent and complex, this wine offers substantial body and lush plushness on the palate, alluring in its layering of cardamom spice and orange, cranberry and cherry. Satisfyingly ripe, with inimitable balance, it shows the elegance possible in spite of the appellation's power."
US,85.0,15.0,California,Zin 91,"Here's a sound, drily tannic Zinfandel to drink with roasted meats and hearty stews. It's dry and spicy, with blackberry, currant, herb and coffee flavors that finish with a hint of raisins. Ready now."
US,88.0,35.0,Carneros,Truchard,"A good Cabernet, dry and classic in black cherry, currant, plum jam and cedar flavors. It's a little irregular in the mouth, with cutting acidity, and its future is uncertain. Give it a long decant."
US,97.0,130.0,Napa Valley,Caymus,"So delicious now, you can hardly keep your hands off it. Blackberry tart, ripe blueberry, cassis, milk chocolate, licorice and sweet, smoky cedar flavors flood the mouth, dramatically huge and memorable, and lasting long into the finish. The tannins are obvious, but sweetly ripe and soft. A brilliant evocation of Napa Cabernet, despite a high production level of nearly 30,000 cases, which is about the same size as a Bordeaux first growth. Shows the class and potency this bottling has exhibited for many years, and believe it or not, the price is a relative bargain these days. Drink now??020."
US,88.0,45.0,Red Mountain,Auclair,"Barrel influences takes over aromatically, with notes of wood, toast and dark chocolate in front of golden raisins, with the fruit seeming somewhat dried out. The palate brings tart cranberry and cherry flavors that show a sense of liveliness. Good things are going on but the aromas and palate seem a bit disconnected at present."
US,88.0,34.0,Columbia Valley (WA),Patterson,"This wine is a blend of Cabernet Sauvignon (46%), Cabernet Franc (24%), Merlot (22%) and Malbec. Aromas of dark fruit and spice are followed by cherry and black-fruit flavors, backed by lightly grainy tannins."
US,92.0,40.0,Santa Cruz Mountains,Ridge,"A fancy, rich Chardonnay that has concentrated, intense Meyer-lemon tart, mineral and honeysuckle flavors, yet it's elegant, with streamlined acidity. Oak adds the perfect touch of buttered toast. This showcases the opulence of Chardonnay, while maintaining balance and dryness."
US,93.0,37.0,Sonoma Mountain,La Follette,"Flavors of cherry compote, Dr. Pepper, vanilla, exotic spice and sandalwood are brightened by acidity, making this easy to mistake for a Pinot Noir. This is rich, vital and complex, so pair it with fare like roast duck or lamb. Greg La Follette has taken the lead in California in exploring the Meunier possibilities, with brilliant results. Drink now??017."
US,91.0,86.0,Napa Valley,Snowden,"This full-bodied, voluptuous wine is spicy in red fruit and floral aromas that lend it a finessed, elegant air. Soft and round, with structure and acidity, it ends in bittersweet chocolate and clove. Drink now through 2023."
US,94.0,58.0,Sta. Rita Hills,Ch.igai Takaha,"This collaboration between American winemakers Greg Brewer and Steve Clifton and Japanese entrepreneur Takahide Sugimoto is stunningly high-toned and buttoned-up at first, with sour cream, yogurt, crushed ant, gunmetal, flint and quinine elements on the nose. The palate is complex and fascinating, with chalk and cement minerality bolstered by lime blossom, kumquat and tonic that opens graciously with time. Drink 2016??026."
France,89.0,40.0,Saint-Ãmilion,ChÃ¢teau de Lescours,"The wine shows the firm tannins of the vintage. They give a dry core that will probably remain. However, there is also a fine layer of fresh black-currant fruit that gives a fine lift to the wine at the end. It will be ready soon, drink from 2017."
US,93.0,40.0,Santa Maria Valley,Peake Ranch,"This is the first white bottling from a new project by John Wagner, co-owner of John Sebastiano and Sierra Madre vineyards, and winemaker Paul Lato. Flint, dried limes, chives and a touch of smoked chicken show on the fresh nose. Light and clean on the sip, it's distinctive with flavors of buttered lemon slices, smoke and sweet onions."
US,90.0,38.0,Sonoma Valley,B.R. Cohn,"This Zinfandel is high in alcohol, soft and alluring. It takes Zin's briary, brambly personality and whips it into Cabernet-like balance. There are varietally correct berry-cherry flavors, containing a touch of raisins, chocolate and lots of exotic spices."
US,87.0,20.0,Santa Barbara County,Rancho Sisquoc,"This is arguably the winery's best Merlot ever. While it is not an ager, it is a lovely food wine that's dry, with crisp acidity. It expresses subtle flavors of cherry, red currant, tobacco and sandalwood flavors."
US,92.0,42.0,Anderson Valley,Theopolis,"This intriguing and multifaceted wine is a great discovery. Beautifully made in a slightly rustic style, it offers abundant forest floor and clove aromas while dealing out black tea, rhubarb and tart cherry on the palate. Drink from 2018 for the most enjoyment."
US,91.0,45.0,Sonoma Coast,Boheme,"Briny like lime salt, this coastal wine is lovely in stony mineral and tart oak. Medium bodied and moderate in acidity, it refreshes in a context of refinement and grace."
US,89.0,60.0,Chehalem Mountains,Carabella,"This is indicated as a reserve-level selection, but at the moment remains unfocused, and even a bit dilute. Tart fruits and tight tannins never quite fit together. The drying finish carries a hint of wet cement. Give this at least another year or two of bottle age."
France,86.0,11.0,CÃ´tes de Gascogne,Domaine du Tariquet,"From one of the largest private vineyards in France (2,300 acres), this wine epitomizes the light and fresh style that comes from Gascony in the hidden southwest of France. It is fruity, citrus-crisp with a touch of honey from the Gros Manseng in the blend. Drink now."
US,84.0,42.0,Paso Robles,Calcareous,"Shows all the difficulties of succeeding with this quirky variety in California. The problem isn't ripeness, because this wine brims with cherries and chocolate. Its limitation is structure. Badly needs firmness, elegance, dryness, acidity, lower alcohol."
US,90.0,20.0,Lodi,Covenant,"Aromas like butter, blanched almonds and honey lead to equally rich flavors and a soothing, fat texture for this indulgent wine. It has very good concentration that helps the fruit and nut nuances linger on the finish."
US,89.0,15.0,Finger Lakes,Dr. Konstantin Frank,"Heady floral and spiced peach notes are enticingly aromatic on this well-priced wine. Off-dry in style, it's intensely concentrated on the palate with juicy, sweet stone fruit and lychee flavors. Sprightly lemon acidity drives a long, subtly spiced finish."
Argentina,88.0,20.0,NeuquÃ©n,Alpataco,"Cherry, cough drop, mineral, heat and red licorice on the nose, with medicinal raspberry and plum flavors. Snappy and fresh in the mouth, with a rooty finish touched up by vanilla. Flavorful and properly executed, with a slight intrusion of cherry cough medicine."
US,86.0,39.0,Dry Creek Valley,Armida,"Marked by excessive heat from high alcohol, with a jalapeÃ±o pepper burn all the way through. If you can get past that, it's dry and smoothly tannic, with rich berrry, currant, cocoa and spice flavors."
Italy,87.0,21.0,Collio,Primosic,"This opens with subdued oak, dried tropical fruit and bell pepper aromas. On the medium-bodied palate, a confected hint of coconut accents grapefruit and mature peach flavors."
US,87.0,20.0,Alexander Valley,ChÃ¢teau Souverain,"Has the soft, easy but complex tannins that made the appellation famous, and bracing acidity underpinning blackberry, olive and herb flavors. Feels good and rich in the mouth. Try cellaring it for a few years."
US,83.0,10.0,Lake County,Sans Wine Co,"Wet earth, pine needle and floral aromas and assertive menthol and lanolin flavors lend a bold, unorthodox personality to this full-bodied wine-in-a-can."
France,89.0,18.0,Cahors,Clos Troteligotte,"A good value Cahors that shows delicious black fruit flavors and balancing acidity. The tannins are relatively gentle, although there is a dry core. Ready to drink."
US,89.0,35.0,Shenandoah Valley (CA),Terre Rouge,"A rich, earthy Syrah from a new Terre Rouge vineyard designate, this exhibits well-integrated dark red and blue fruit amidst tobacco and herb highlights."
US,86.0,14.0,Columbia Valley (WA),Waterbrook,"Hailing from the cool 2011 vintage, this Cabernet?which includes healthy doses of Malbec and Syrah?is light in style with notes of herbs and currant. With the oak (21% new American) dialed back, it's fresh and direct."
France,87.0,15.0,CÃ´tes de Provence,ChÃ¢teau de Pourcieux,"This lively, lightly herbal blend includes Cabernet Sauvignon and white Vermentino. It pivots deftly on a texture that is mineral, crisp, and contrasting with the red fruits. It is ready to drink."
Italy,88.0,55.0,Barbaresco,Giuseppe Cortese,"Fruit is harvested from the celebrated RabajÃ¡ cru, a short distance away from the town center of Barbaresco, and presented in a tight, more traditional expression. There's a nervous or sharp quality to the wine that is backed by immediate aromas of chopped herbs, soya sauce and spice."
US,89.0,24.0,Dry Creek Valley,Rancho Zabaco,"This is really a lovely Zin, showcasing how perfectly Dry Creek's terroir works for the variety. Although the alcohol level is high, the wine is elegant and balanced, with polished flavors of wild berries, cocoa, smoky wood and spices."
US,83.0,30.0,Paso Robles,Opolo,"A Southern RhÃ´ne blend of Grenache, MourvÃ¨dre, Syrah and Counoise, this red wine is soft, light-bodied and frankly sweet. It has Porty flavors of raisins, currants, chocolate and anise."
US,90.0,30.0,Santa Maria Valley,Brophy Clark,"The husband-and-wife team behind this label deliver a well-balanced, approachable but serious wine in this bottling. Aromas include red rose, dark violet, pomegranate, limestone and clove. On the palate, there is luscious black cherry fruit, with slate and acidity to stand it up straight."
Italy,88.0,18.0,Lugana,Olivini,Aromas of white wild flower and golden apple waft out of the glass while the juicy palate offers Bartlett pear and a hint of nectarine. Fresh acidity gives it a tangy finish.
US,90.0,40.0,Los Carneros,Vine Cliff,"This full-bodied wine has a voluptuous entry that's slightly tropical in pineapple and Asian pear, as well as vanilla-layered oak. The expansive beginning segues smoothly into a higher-wire act of minerality, finishing fleshy and fresh."
US,89.0,22.0,Edna Valley,Stephen Ross,"Uplifting, light and fresh peach aromas mix with ruby-red grapefruit spritzer and tiny flashes of honey on this energetic wine by the San Luis Obispo-based producer. The palate shows fresh nectarine, apple blossoms and lots of white flowers, and would make a perfect compliment to spicy food."
Italy,92.0,34.0,Franciacorta,Contadi Castaldi,"Made from Chardonnay grapes, this metodo classico opens with creamy aromas of apricot, honey, citrus and blanched almond. The wine feels smooth, rich and silky on the finish, with small, elegant perlage."
US,89.0,15.0,California,Cupcake,"This full-bodied wine smells like black currants and blackberries, tastes ripe, and is lightly tannic to give it a little grip. Bring on the beef or pork tenderloin."
US,84.0,20.0,Sonoma County,Viansa,"Pretty basic, a dryly tannic red wine with cherry and herb flavors. Feels hard and sharp in the mouth, with astringent tannins and acids. Could age out."
US,88.0,50.0,Napa Valley,Fleming Jenkins,"Front-loaded with ripe, juicy blackberry, cherry, raspberry and mocha flavors, this Cabernet Sauvignon-based blend is a nice wine to drink now. It's flashy and flamboyant, if a bit direct."
US,82.0,28.0,Missouri,Mount Pleasant Winery,"This smells like warm chocolate ganache spread over layers of vanilla buttercream and black plums. It feels loose on the palate, offering soft acidity and only a slight tug of tannin toward the chocolaty finish."
Italy,91.0,32.0,Chianti Classico,Rocca di Castagnoli,"New leather, blue flower, wild berry and a whiff of oak-driven spice lead the nose. The savory chewy palate offers mature black cherry, raspberry, star anise, clove and menthol while lithe tannins provide polished support. Drink through 2019."
France,90.0,30.0,Champagne,LÃ©tÃ©-Vautrain,"This producer releases a vintage Champagne almost every year. This latest release shows the character of a vintage widely regarded as difficult. It's fast maturing, with soft fruit, attractive acidity, just a touch of toast and a mineral structure. Drink now."
US,89.0,50.0,Walla Walla Valley (WA),Pepper Bridge,"Dark raspberry, barrel spice and smoke aromas are followed by medium-bodied fruit flavors. The tannins bring a slight sense of astringency. Perhaps some time in the bottle will help them settle."
France,86.0,11.0,Vin de France,Lionel Osmin & Cie,"A true wine from southwest France, this brings together grapes from Gascony and Gaillac. It is delicate and fruity. The freshest green-fruit flavors come together with intense acidity and a tang that is poised and crisp."
US,89.0,24.0,Finger Lakes,Hazlitt 1852 Vineyards,"Intensely mineral on the nose with aromas of wet granite and steel, this delicate dry Riesling builds in floral, fruity exuberance on the palate. Fleshy and ripe with white peach and honeydew flavors, it finishes long with hints of zesty lime pith."
US,87.0,14.0,Sonoma County,Kenwood,"Here's a clean, savory Merlot for drinking now at a fair price. It's dry, tannic and smooth in the mouth, with blackberry, blueberry and tobacco flavors, subtlely enhanced with oak."
US,86.0,16.0,Finger Lakes,Silver Thread,"Layers of smoke, dark toast and nuts lend a distinctly savory feel. This wine is refreshingly brisk on the palate, marked by delicate touches of pressed apple and pear that linger through the finish."
Australia,87.0,10.0,South Australia,Rocland Estate,"This blend of Petit Verdot (40%), Grenache (29%), Shiraz (29%) and Mataro (2%) ends up being a pleasing recipe at an even more pleasing price. Mulberry, plum and vanilla flavors emerge from the glass, while the mouthfeel is full and lush. Probably best over the next year or so."
France,92.0,27.0,CÃ´tes du RhÃ´ne,Domaine Roche-Audran,"An oak-fermented blend of 90% Grenache Blanc and 10% Viognier, this is a full-bodied, richly textured wine for drinking over the near term. Nutty scents and flavors accent grilled peach and pineapple fruit, ending in a long, mouthwatering finish."
France,85.0,12.0,Vin de Pays des CÃ´tes de Gascogne,Domaine de Mirail,"There is a fresh, crisp character to this light rosÃ©. It is eye-watering in its refreshing character, with balancing acidity, smoothing out the edges with a touch of caramel."
US,93.0,60.0,Washington,Quilceda Creek,"Quilceda makes big, muscular Cabernets, but the power is tightly controlled and never out of whack. Firm cherry fruit is edged with mixed spices from barrel aging. Still young and hard, this is a tannic wine that clearly has the stuffing and structure to age indefinitely, but if drunk now will require many hours of breathing time. Editors' Choice."
US,92.0,75.0,Monterey,Talbott,"Zesty blackberry and boysenberry are lifted by white pepper and a touch of thyme on this wine's deep and dark yet fresh nose. Steadily growing acidity frames the palate, where flavors of wet clay and olallieberry paste dominate."
US,82.0,14.0,Mendocino County,Brutocao,"Sauvignon Blanc can vary in style from merely crisp and almost neutral to more herbaceous examples like this. It conveys an assertive, slightly heavy personality with plenty of herb and eucalyptus flavors, a rather soft texture for this variety and dry finish."
US,87.0,25.0,Sonoma County,Trentadue,"Tastes soft and high in alcohol, with flavors of chocolate, cherry pie filling and spice. An appealing wine that's for drinking now."
US,88.0,14.0,Sonoma County,Kenwood,"If there's one thing Kenwood knows how to do, it's making proper varietal wines at a good price. Here's another in a string of fine Zinfandels. For 14 bucks, you get a lovely wine that's dry and balanced, with briary blackberry, pepper, cola and sandalwood flavors."
US,96.0,54.0,Russian River Valley,Arista,"This high-toned, lovely wine is a best-of blend from several vineyards?primarily Ritchie and Banfield. Sugar pie apple and fig flavors form a robustly concentrated fruitiness that's ribbed with vibrant minerality. A clarified butter-like creaminess comes through on the finish."
US,88.0,42.0,Walla Walla Valley (WA),Adamant Cellars,"All varietal coming from Dwelley and Minnick Hills vineyards, this wine leads with aromas of black licorice, dates and green herbs. There's plenty of richness to the flavors, which are backed by a squeeze of grainy tannins."
Italy,90.0,37.0,Valpolicella Superiore,Roccolo Grassi,"A hugely extracted and super rich wine, this Valpolicella Superiore opens with barbecue smoke, spicy salsa, cola, licorice and freshly ground coffee bean. It's bold, rich and long-lasting on the close."
